iter	Passed	Remaining
0	7	8255
1	26	13624
2	46	16303
3	65	16920
4	82	17204
5	102	17669
6	120	17806
7	137	17876
8	156	17995
9	174	18020
10	192	18092
11	210	18089
12	227	18075
13	245	18047
14	263	18062
15	281	18091
16	299	18096
17	318	18166
18	338	18281
19	357	18322
20	375	18316
21	392	18250
22	410	18228
23	427	18198
24	445	18169
25	463	18147
26	481	18153
27	499	18144
28	517	18140
29	537	18185
30	556	18188
31	573	18162
32	591	18126
33	608	18098
34	626	18080
35	644	18077
36	661	18034
37	680	18033
38	698	18021
39	718	18047
40	737	18055
41	756	18060
42	775	18063
43	793	18055
44	811	18026
45	829	18004
46	847	17986
47	865	17966
48	883	17958
49	901	17931
50	920	17932
51	938	17922
52	957	17917
53	974	17887
54	993	17874
55	1012	17879
56	1030	17868
57	1049	17851
58	1067	17834
59	1085	17819
60	1104	17808
61	1121	17786
62	1139	17758
63	1156	17730
64	1173	17699
65	1191	17673
66	1209	17659
67	1228	17645
68	1247	17649
69	1265	17621
70	1283	17612
71	1301	17593
72	1319	17565
73	1337	17547
74	1356	17542
75	1374	17528
76	1393	17513
77	1411	17499
78	1430	17488
79	1449	17478
80	1467	17464
81	1484	17439
82	1503	17420
83	1520	17394
84	1540	17393
85	1557	17372
86	1574	17340
87	1591	17312
88	1610	17294
89	1628	17279
90	1646	17257
91	1664	17241
92	1681	17217
93	1699	17191
94	1716	17160
95	1734	17143
96	1751	17117
97	1769	17103
98	1789	17095
99	1807	17082
100	1826	17070
101	1843	17045
102	1863	17040
103	1880	17017
104	1897	16987
105	1914	16957
106	1932	16944
107	1950	16922
108	1968	16903
109	1985	16876
110	2003	16858
111	2020	16832
112	2039	16824
113	2058	16807
114	2076	16795
115	2095	16779
116	2112	16752
117	2129	16730
118	2146	16704
119	2163	16679
120	2180	16654
121	2199	16639
122	2216	16613
123	2233	16588
124	2251	16567
125	2268	16546
126	2287	16534
127	2306	16520
128	2323	16498
129	2342	16485
130	2360	16467
131	2378	16453
132	2397	16437
133	2414	16416
134	2432	16394
135	2450	16378
136	2468	16360
137	2487	16346
138	2504	16322
139	2522	16305
140	2540	16288
141	2558	16267
142	2576	16249
143	2594	16231
144	2612	16215
145	2629	16193
146	2647	16172
147	2665	16157
148	2683	16136
149	2701	16117
150	2719	16099
151	2737	16085
152	2756	16068
153	2774	16051
154	2791	16030
155	2809	16008
156	2826	15988
157	2844	15966
158	2861	15944
159	2878	15921
160	2896	15904
161	2914	15887
162	2933	15870
163	2950	15851
164	2967	15828
165	2985	15810
166	3004	15796
167	3023	15780
168	3041	15765
169	3059	15748
170	3077	15730
171	3095	15710
172	3112	15689
173	3131	15673
174	3149	15658
175	3167	15639
176	3186	15624
177	3204	15607
178	3222	15589
179	3239	15566
180	3257	15549
181	3275	15533
182	3293	15513
183	3311	15496
184	3331	15485
185	3348	15464
186	3367	15449
187	3385	15432
188	3402	15411
189	3420	15390
