iter	Passed	Remaining
0	345	106155
1	535	82001
2	706	71781
3	869	66060
4	1027	62259
5	1185	59665
6	1345	57863
7	1499	56225
8	1661	55183
9	1828	54481
10	1989	53711
11	2142	52841
12	2290	51971
13	2444	51337
14	2593	50663
15	2736	49934
16	2888	49443
17	3043	49026
18	3192	48559
19	3340	48110
20	3486	47649
21	3634	47248
22	3778	46815
23	3923	46424
24	4068	46057
25	4216	45734
26	4366	45439
27	4508	45089
28	4647	44708
29	4795	44438
30	4938	44129
31	5083	43842
32	5225	43545
33	5370	43278
34	5513	43003
35	5655	42727
36	5812	42576
37	5956	42324
38	6100	42076
39	6248	41863
40	6396	41654
41	6545	41455
42	6690	41232
43	6841	41049
44	6995	40886
45	7148	40714
46	7307	40581
47	7459	40403
48	7611	40230
49	7749	39989
50	7898	39800
51	8038	39574
52	8186	39389
53	8332	39191
54	8476	38994
55	8620	38792
56	8769	38617
57	8918	38442
58	9068	38272
59	9224	38126
60	9379	37978
61	9519	37768
62	9663	37581
63	9812	37411
64	9958	37227
65	10094	37012
66	10235	36816
67	10377	36625
68	10518	36435
69	10661	36248
70	10805	36068
71	10949	35889
72	11088	35694
73	11235	35528
74	11384	35369
75	11525	35184
76	11668	35004
77	11817	34845
78	11964	34681
79	12105	34500
80	12248	34325
81	12395	34163
82	12540	33994
83	12691	33844
84	12839	33685
85	12982	33512
86	13126	33344
87	13271	33179
88	13412	33002
89	13554	32831
90	13693	32654
91	13847	32510
92	13992	32348
93	14132	32174
94	14278	32014
95	14426	31857
96	14562	31676
97	14699	31498
98	14844	31338
99	14981	31161
100	15122	30994
101	15265	30830
102	15403	30656
103	15542	30487
104	15693	30340
105	15845	30196
106	15996	30049
107	16144	29897
108	16295	29749
109	16440	29592
110	16585	29435
111	16730	29279
112	16879	29128
113	17036	28991
114	17190	28849
115	17357	28730
116	17516	28595
117	17680	28468
118	17839	28334
119	18000	28201
120	18165	28074
121	18321	27933
122	18476	27790
123	18650	27674
124	18806	27532
125	18952	27376
126	19097	27218
127	19248	27068
128	19409	26932
129	19559	26782
130	19730	26658
131	19891	26522
132	20048	26379
133	20201	26231
134	20355	26085
135	20516	25947
136	20694	25829
137	20857	25693
138	21001	25534
139	21159	25391
140	21316	25247
141	21470	25099
142	21646	24977
143	21804	24832
144	21939	24662
145	22073	24492
146	22212	24327
147	22363	24176
148	22515	24026
149	22677	23887
150	22826	23733
151	22962	23566
152	23105	23407
153	23269	23269
154	23423	23121
155	23582	22977
156	23745	22837
157	23892	22682
158	24028	22516
159	24172	22359
160	24321	22207
161	24471	22054
162	24634	21914
163	24791	21768
164	24928	21604
165	25070	21446
166	25230	21302
167	25399	21165
168	25558	21021
169	25720	20879
170	25879	20733
171	26014	20569
172	26154	20409
173	26313	20264
174	26486	20129
175	26647	19985
176	26815	19846
177	26969	19696
178	27144	19562
179	27345	19446
180	27533	19319
181	27707	19182
182	27880	19044
183	28038	18895
184	28192	18744
185	28347	18593
186	28503	18443
187	28678	18305
188	28834	18154
189	28988	18003
190	29137	17848
191	29293	17698
192	29438	17540
193	29608	17398
194	29714	17219
195	29883	17076
196	30038	16925
197	30127	16737
198	30276	16583
199	30429	16432
200	30590	16284
201	30753	16137
202	30890	15977
203	31026	15817
204	31181	15666
205	31329	15512
206	31466	15353
207	31562	15174
208	31721	15026
209	31861	14868
210	31986	14704
211	32125	14547
212	32277	14396
213	32376	14221
214	32532	14072
215	32695	13926
216	32843	13772
217	32969	13611
218	33130	13464
219	33290	13316
220	33451	13168
221	33629	13027
222	33797	12882
223	33950	12731
224	34106	12581
225	34210	12412
226	34320	12246
227	34427	12079
228	34525	11910
229	34632	11744
230	34736	11578
231	34829	11409
232	34926	11242
233	35027	11077
234	35129	10912
235	35288	10765
236	35440	10617
237	35602	10471
238	35747	10320
239	35897	10171
240	36048	10021
241	36201	9873
242	36359	9725
243	36513	9577
244	36673	9430
245	36823	9280
246	36969	9130
247	37103	8976
248	37251	8826
249	37414	8680
250	37571	8532
251	37672	8371
252	37767	8210
253	37865	8050
254	38023	7902
255	38171	7753
256	38310	7602
257	38451	7451
258	38618	7306
259	38712	7146
260	38862	6998
261	38950	6838
262	39081	6686
263	39185	6530
264	39290	6375
265	39394	6220
266	39498	6065
267	39659	5919
268	39752	5763
269	39846	5608
270	39999	5461
271	40094	5306
272	40246	5159
273	40384	5011
274	40482	4857
275	40597	4706
276	40756	4561
277	40844	4407
278	40992	4260
279	41130	4113
280	41263	3964
281	41420	3818
282	41589	3674
283	41744	3527
284	41907	3381
285	42042	3234
286	42182	3086
287	42282	2936
288	42432	2789
289	42595	2643
290	42748	2497
291	42894	2350
292	43032	2203
293	43171	2055
294	43323	1909
295	43483	1762
296	43646	1616
297	43796	1469
298	43944	1322
299	44087	1175
300	44220	1028
301	44371	881
302	44479	733
303	44580	586
304	44681	439
305	44785	292
306	44951	146
307	45039	0
